message,label
Congratulations! You have won 10 lakh rupees,1
You are selected for a lottery prize,1
Claim your reward now by clicking this link,1
Urgent! Your bank account will be blocked,1
Verify your ATM details immediately,1
You won a free iPhone, click here,1
Limited offer! Earn money quickly from home,1
Your KYC is pending, update now,1
Click here to receive your cashback reward,1
You have won a car prize, contact now,1
Send your OTP to claim reward,1
Account suspended, verify details immediately,1
Exclusive deal! Win big cash prizes today,1

Hi, how are you?,0
Let's meet tomorrow,0
Call me when you are free,0
Your order has been delivered successfully,0
Happy birthday! Have a great day,0
Meeting scheduled at 10 AM,0
Please send the result ,0
Lunch at 1 PM?,0
Can you help me with this task?,0
I will call you later,0
Your package is out for delivery,0
Thank you for your support,0
Let's discuss the project,0
See you soon,0
Good morning, have a nice day,0
